	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	1	15	14	19	14	8	4	20	2	12	2	2	12	10	6	15	18	4	5	16	13
2	15	2	19	9	12	16	14	15	12	4	7	9	20	5	12	20	13	N/A	18	8	7
3	14	19	3	10	4	20	5	6	10	14	13	9	19	2	6	9	2	5	18	16	20
4	19	9	10	4	19	14	9	9	2	2	18	6	15	8	16	3	10	8	15	3	3
5	14	12	4	19	5	4	9	15	16	3	7	10	4	19	20	19	18	14	2	8	7
6	8	16	20	14	4	6	14	20	15	9	3	20	14	16	2	5	13	19	4	12	8
7	4	14	5	13	9	14	7	6	3	2	18	5	19	18	6	6	18	10	13	16	12
8	20	15	6	9	15	20	6	8	15	9	16	2	14	10	2	19	13	6	20	12	15
9	2	12	10	2	16	15	3	15	9	12	7	15	3	12	10	2	7	19	12	15	7
10	12	4	14	2	3	9	2	9	12	10	4	6	19	20	2	9	14	9	4	15	18
11	2	7	13	18	7	3	18	16	7	4	11	18	14	10	16	5	8	5	7	3	13
12	2	9	9	6	10	20	5	2	15	6	18	12	6	13	20	10	13	5	9	15	N/A
13	12	20	19	15	4	14	19	14	3	19	14	6	13	3	14	9	10	4	3	16	4
14	10	5	2	8	19	16	18	10	12	20	10	13	3	14	8	18	7	7	3	4	N/A
15	6	12	6	16	20	2	6	2	10	2	16	20	14	8	15	10	18	6	13	10	N/A
16	15	20	9	3	19	5	6	19	2	9	5	10	9	18	10	16	5	5	4	6	N/A
17	18	13	2	10	18	13	18	13	7	14	8	13	10	7	18	5	17	13	3	8	N/A
18	4	N/A	5	8	14	19	10	6	19	9	5	5	4	7	6	5	13	18	5	19	N/A
19	5	18	18	15	2	4	13	20	12	4	7	9	3	3	13	4	3	5	19	12	N/A
20	16	8	16	3	8	12	16	12	15	15	3	15	16	4	10	6	8	19	12	20	N/A
21	13	7	20	3	7	8	12	15	7	18	13	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	21
